"filename", "language", "JavaScript", "Log", "Batch", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\css\style.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\debug.log", "Log", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\display.js", "JavaScript", 33, 0, 0, 0, 0, 0, 2, 16, 51
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\game.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 9, 29
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\gameLogic.js", "JavaScript", 67, 0, 0, 0, 0, 0, 1, 39, 107
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\gameserver.js", "JavaScript", 91, 0, 0, 0, 0, 0, 1, 10, 102
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\globals.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\objects\Ball.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\objects\Destination.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\objects\Portal.js", "JavaScript", 23, 0, 0, 0, 0, 0, 8, 9, 40
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\objects\RoundWall.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\objects\Unreachable.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamefiles\objects\Wall.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 6, 21
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\gamepage.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 6, 8
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\howtoplaypage.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\index.html", "HTML", 0, 0, 0, 0, 0, 60, 2, 15, 77
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\local_server.bat", "Batch", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\client\mainpage.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 3, 61
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\Vector2D.js", "JavaScript", 119, 0, 0, 0, 0, 0, 10, 5, 134
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\engine.js", "JavaScript", 390, 0, 0, 0, 0, 0, 74, 99, 563
